Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,RSI,Bollinger_Upper,Bollinger_Lower,Returns,Days_Index,Trendline
2023-08-31,3291.5645757689413,3307.436771476309,3236.059856609223,3248.786865234375,3417652,3305.7526977539064,3287.5010823663174,32.939909832459506,3381.7592454224186,3229.746150085394,-0.010070815442502212,145,3398.4743534586796
2023-09-01,3257.690610274266,3279.9505282886175,3248.7866903254844,3270.4658203125,1277950,3304.748571777344,3285.87867645643,36.902403062430636,3382.119249564456,3227.3778939902318,0.0066729385390325024,146,3401.494012722763
2023-09-04,3269.3046506485853,3322.389813276207,3261.6105084524215,3308.50146484375,1828332,3303.5363891601564,3288.033227731413,44.8429056703679,3379.812126322518,3227.260651997795,0.011630038844929969,147,3404.5136719868456
2023-09-05,3309.952962342964,3336.084169940408,3295.580703650453,3319.002197265625,1501842,3300.8893920898436,3290.982653401338,45.25716394391906,3370.5580154929266,3231.2207686867605,0.0031738636157354616,148,3407.5333312509288
2023-09-06,3323.502590742173,3333.0839393407605,3288.757856191549,3319.534423828125,1314818,3298.9198608398438,3293.701869632461,48.97059097692429,3363.7387581026933,3234.100963576994,0.00016035739986497433,149,3410.5529905150115
2023-09-07,3320.4058761077613,3348.666249219937,3312.1793838770186,3344.069091796875,1885092,3298.56904296875,3298.498747933834,68.29986122384855,3362.265391426903,3234.8726945105973,0.007390996699005781,150,3413.5726497790947
2023-09-08,3344.06896343331,3353.5052335710643,3324.5189946100018,3331.1484375,1518917,3298.559362792969,3301.6082421782303,59.162363793388586,3362.2347955598125,3234.883930026125,-0.003863752195960801,151,3416.5923090431775
2023-09-11,3350.601571663428,3373.5389181812875,3334.1485887869753,3368.6513671875,1783604,3300.1006103515624,3307.9933017029225,70.61536609626143,3369.0516108576085,3231.1496098455164,0.011258258342773164,152,3419.61196830726
2023-09-12,3379.6364101974254,3474.38614516756,3370.92600707836,3465.5791015625,4476016,3306.4374389648438,3323.0014731181204,78.2629479831094,3406.6075354256864,3206.267342504001,0.02877345376821383,153,3422.6316275713434
2023-09-13,3456.191566196329,3473.370418264981,3430.931300471592,3453.046142578125,1754929,3311.73388671875,3335.386679733359,77.67376849782433,3430.4462342579,3193.0215391796,-0.0036164111731642468,154,3425.651286835426
2023-09-14,3455.175051980262,3481.935251826529,3431.5118371357175,3445.496826171875,2604721,3317.748913574219,3345.873360346551,77.35277178603909,3450.6736082499724,3184.8242188984655,-0.002186277302571371,155,3428.670946099509
2023-09-15,3453.045720255974,3491.27471032473,3447.8193368048096,3482.515869140625,2952897,3328.9369384765623,3358.8869326126533,81.0021219853694,3477.680520188581,3180.1933567645438,0.010744181416031173,156,3431.690605363592
2023-09-18,3464.853011461987,3502.840044840026,3460.2074161740843,3490.113037109375,1395753,3338.8329223632813,3371.3846568504364,81.37791430382613,3502.8362191536667,3174.829625572896,0.002181517114127285,157,3434.710264627675
2023-09-20,3464.804776532169,3508.3567918796407,3464.804776532169,3490.0166015625,1649396,3349.6677124023436,3382.6829372992042,80.57146012162602,3523.7686811286126,3175.5667436760746,-2.7631066916611324e-05,158,3437.729923891758
2023-09-21,3473.079505179387,3489.000138164539,3414.4778051163644,3469.93408203125,2004073,3358.719274902344,3390.9925701308275,83.76180128737928,3538.2572568288465,3179.181292975841,-0.005754276218129961,159,3440.749583155841
2023-09-22,3468.6762279183363,3516.8254026780846,3450.3360367492246,3487.69384765625,1989083,3369.1669311523438,3400.202215609439,83.56513197206647,3553.3669164131893,3184.966945891498,0.005118185304143763,160,3443.769242419924
2023-09-25,3486.5807832047026,3503.5176780571887,3444.1416693032643,3462.04638671875,1238778,3378.6443359375,3406.092136667469,74.66952749295908,3561.4016426294484,3195.8870292455513,-0.007353701918170197,161,3446.7889016840068
2023-09-26,3452.803842583561,3479.2736476984583,3422.2205553240965,3470.3212890625,1726062,3388.8137329101564,3412.209198800329,74.48705052968103,3567.9979039869586,3209.6295618333543,0.002390176623714435,162,3449.8085609480895
2023-09-27,3474.482848429234,3497.7105889201257,3441.2864887207083,3473.805419921875,1541134,3399.1282958984375,3418.0755055738096,74.7284888671826,3572.5704084009376,3225.6861833959374,0.0010039793348115555,163,3452.8282202121727
2023-09-28,3484.16131180639,3486.871262305868,3413.8490954028885,3422.946533203125,1755753,3406.183740234375,3418.5394129670776,61.659501922788216,3570.791674072774,3241.5758063959756,-0.014640683795091203,164,3455.8478794762555
2023-09-29,3423.381970277491,3453.6264257925736,3392.750480245738,3415.058837890625,2243791,3414.4973388671874,3418.2079296264633,62.590805151834644,3561.48648210837,3267.5081956260046,-0.0023043583170195836,165,3458.867538740338
2023-10-03,3420.478494882021,3420.478494882021,3368.119435382542,3400.783447265625,1948148,3421.013220214844,3416.5484551159075,55.18270376527979,3551.7773287519512,3290.2491116777364,-0.004180130212285693,166,3461.8871980044214
2023-10-04,3374.1196419410794,3433.834243163027,3365.4092394076893,3423.9140625,1788138,3426.7838500976563,3417.24994153344,41.1799971058235,3546.3488192602413,3307.2188809350714,0.006801554874942939,167,3464.906857268504
2023-10-05,3439.6413818603187,3507.388961131625,3436.931431432505,3473.85400390625,2990768,3434.5264404296877,3422.6408046165648,53.80256076896239,3544.3633763923413,3324.689504467034,0.014585629339594508,168,3467.9265165325874
2023-10-06,3475.4508469955413,3517.9866016671385,3460.0141242693285,3504.87255859375,2075691,3443.793347167969,3430.4724002334397,59.993474735969244,3543.5959160956095,3343.9907782403284,0.008929147469243226,169,3470.94617579667
2023-10-09,3527.7614631249207,3560.6189898569937,3514.1635096957716,3521.277099609375,4233074,3452.6537475585938,3439.1204668406717,57.01032876121982,3546.4635175728226,3358.843977544365,0.00468049572170659,170,3473.9658350607533
2023-10-10,3522.922711444885,3530.6168538777047,3485.4680239855466,3512.13134765625,1848148,3461.7028930664064,3446.073884061203,53.96003389785855,3539.7549679443773,3383.6508181884356,-0.0025972826603563037,171,3476.985494324836
2023-10-11,3532.5522093310296,3532.5522093310296,3489.000195791332,3493.742431640625,2426417,3467.9574462890623,3450.6137457354334,50.62872793519666,3533.6892093535666,3402.225683224558,-0.005235828104178553,172,3480.005153588919
2023-10-12,3459.9653624997713,3473.176044824493,3424.2528075378136,3428.5595703125,4241281,3466.1064697265624,3448.5133480761065,43.94045361320164,3534.163985699724,3398.048953753401,-0.018657031135954627,173,3483.024812853002
2023-10-13,3416.413814741517,3461.9014774307097,3411.574701689475,3455.949462890625,2890357,3466.2516357421873,3449.2215494870134,45.478388417997564,3534.204161292674,3398.2991101917005,0.007988746298967841,174,3486.0444721170848
2023-10-16,3451.254890069347,3459.6264598288785,3405.8641112393857,3410.65478515625,1671104,3464.5095336914064,3445.548524312655,43.067868367876535,3536.3762106849435,3392.6428566978693,-0.013106290534841802,175,3489.0641313811675
2023-10-17,3416.4133831427866,3420.4297519546626,3390.6210083477054,3394.201904296875,1672065,3460.0938354492187,3440.6583700254378,39.95401436664392,3537.908538849961,3382.279132048476,-0.004823965454076706,176,3492.0837906452507
2023-10-18,3398.0250930146203,3409.3485699924263,3371.8938832420786,3375.039306640625,1408245,3454.3401489257812,3434.40893541736,37.48316840015643,3539.4813697430736,3369.198928108489,-0.005645685847972426,177,3495.1034499093334
2023-10-19,3366.548984827412,3373.6809818883803,3349.471137616715,3353.10986328125,1514545,3447.4948120117188,3426.6661666424925,40.44913132640585,3542.0524738965205,3352.937150126917,-0.006497537174227075,178,3498.123109173416
2023-10-20,3348.015399624975,3395.6585388925573,3341.8539667599803,3390.85546875,1481211,3443.540881347656,3423.2556239860646,46.93985903293656,3540.724692282895,3346.357070412417,0.011256894944627005,179,3501.1427684374994
2023-10-23,3369.9448486230003,3375.718245484854,3300.37246708019,3308.959716796875,1106272,3434.6041748046873,3412.3702994918563,40.08558697247552,3546.457088752849,3322.7512608565257,-0.024151944165085593,180,3504.162427701582
2023-10-25,3289.8931629320496,3323.3694390332607,3276.9877685340816,3289.505126953125,1518537,3425.9771118164062,3400.6688544881677,35.371443360274895,3554.3185458941844,3297.635677738628,-0.005879367386975143,181,3507.1820869656653
2023-10-26,3268.109314146672,3273.5915659558614,3231.1883310329567,3237.738037109375,1984471,3414.34794921875,3385.1516337854255,24.403838427788102,3565.833597187122,3262.8623012503776,-0.015737044888481044,182,3510.201746229748
2023-10-27,3250.594594393745,3262.238515328887,3237.980346714008,3251.516357421875,1108851,3403.23349609375,3372.424464607944,21.468441296715326,3568.3560008025574,3238.1109913849427,0.0042555389455785075,183,3513.2214054938313
2023-10-30,3250.5947303259786,3282.470059977352,3234.8269200669347,3278.297607421875,910972,3396.0010498046877,3363.4600020187945,23.261913128701437,3569.9248409050274,3222.077258704348,0.008236541679659481,184,3516.241064757914
2023-10-31,3298.140715082908,3298.140715082908,3250.643266727133,3268.788330078125,999811,3388.6875244140624,3354.443652310159,23.243316956469684,3571.3204193450274,3206.0546294830974,-0.002900675436611211,185,3519.260724021997
2023-11-01,3255.446399892335,3271.553919461009,3212.752020877354,3231.81884765625,1563475,3380.239294433594,3342.765099485977,22.33086930215356,3575.6978357792773,3184.7807530879104,-0.011309842880218413,186,3522.28038328608
2023-11-02,3243.9963552576946,3275.7745564381084,3243.9963552576946,3260.39501953125,1245384,3372.063342285156,3334.920329966479,30.746296859486392,3573.420546523745,3170.706138046567,0.00884213293567604,187,3525.3000425501627
2023-11-03,3281.645029764771,3287.369862763726,3245.063759100798,3251.4677734375,1402598,3360.9440307617188,3326.97246743991,25.554759740801785,3563.1927615372733,3158.695299986164,-0.0027380872686505464,188,3528.3197018142455
2023-11-06,3274.852806008362,3291.6395062895076,3259.3275778909892,3279.947021484375,1099852,3349.69775390625,3322.493853539383,33.71968912326753,3543.0679348939707,3156.3275729185293,0.008758889840315476,189,3531.3393610783287
2023-11-07,3277.764247850636,3303.13820136962,3266.120325122925,3270.438232421875,1191144,3337.155810546875,3317.5361753377156,34.31325465246533,3515.634009576299,3158.6776115174507,-0.0028990678813454185,190,3534.3590203424114
2023-11-08,3271.4081010788814,3301.0030671996815,3269.5645749970417,3281.20849609375,992899,3325.60966796875,3314.0763963621,37.84866276514685,3485.317372031582,3165.9019639059175,0.0032932172713437957,191,3537.3786796064946
2023-11-09,3289.504941002282,3290.863303747934,3242.8806914278243,3248.120361328125,2112352,3313.328564453125,3307.794869216007,36.78550291585056,3455.4001345217075,3171.256994384543,-0.010084130528436708,192,3540.3983388705774
2023-11-10,3238.9509230792783,3248.120464143148,3223.765403114512,3234.535888671875,1338557,3303.6273803710938,3300.817823449899,29.05069242633543,3438.9036387983415,3168.351121943846,-0.0041822565499682884,193,3543.4179981346606
2023-11-13,3256.416580383934,3256.416580383934,3228.277104570128,3232.692138671875,1030990,3292.4645141601563,3294.3296629948495,36.9867464700021,3410.5733078947396,3174.355720425573,-0.0005700199544723672,194,3546.4376573987433
2023-11-15,3282.712567265491,3311.725242726036,3256.4651809422935,3303.283447265625,2059802,3287.095947265625,3295.182404353971,52.00164569353214,3391.557164388457,3182.634730142793,0.02183669386555076,195,3549.457316662826
2023-11-16,3328.2694142210626,3424.6229107125264,3312.8896400222175,3394.0576171875,3951984,3287.088732910156,3304.5990912904977,70.39756918228775,3391.5188200278353,3182.658645792477,0.02747998207571789,196,3552.4769759269093
2023-11-17,3394.057878846559,3419.9169947305995,3388.915099144415,3398.521240234375,2021292,3288.262829589844,3313.544057856581,69.6600407480932,3397.283479407793,3179.242179771895,0.0013151288370212288,197,3555.496635190992
